Timestamp,NIFTY_LTP,ATM_Strike,Expiry,Option,LTP,IV,Delta,Gamma,Theta,Vega,Rho,OI,OI_Change,Volume
2025-12-29 10:57:35,26009.75,26000,2025-12-30,CE,60.5,8.76,0.5500,0.003000,-21.6442,5.8779,0.4890,24102300,12928000,130434675
2025-12-29 10:57:35,26009.75,26000,2025-12-30,PE,41.65,8.39,-0.4480,0.003200,-20.7252,5.8739,-0.4059,26057400,11101975,231557775
2025-12-29 10:57:41,26009.2,26000,2025-12-30,CE,60.25,8.73,0.5538,0.003000,-21.5436,5.8705,0.4877,24102300,12928000,130566750
2025-12-29 10:57:41,26009.2,26000,2025-12-30,PE,42.0,8.39,-0.4442,0.003200,-20.7001,5.8663,-0.4074,26057400,11101975,231721125
2025-12-29 10:57:46,26007.15,26000,2025-12-30,CE,60.0,8.58,0.5572,0.003100,-21.1428,5.8635,0.4828,24102300,12928000,130620825
2025-12-29 10:57:46,26007.15,26000,2025-12-30,PE,42.2,8.53,-0.4425,0.003100,-21.0276,5.8628,-0.4136,26057400,11101975,231808575
2025-12-29 10:57:51,26008.35,26000,2025-12-30,CE,60.0,8.56,0.5564,0.003100,-21.1118,5.8650,0.4861,24102300,12928000,130660575
2025-12-29 10:57:51,26008.35,26000,2025-12-30,PE,42.3,8.54,-0.4435,0.003100,-21.0734,5.8648,-0.4104,26057400,11101975,231885375
2025-12-29 10:57:57,26006.6,26000,2025-12-30,CE,60.0,8.67,0.5520,0.003100,-21.4068,5.8734,0.4809,24102300,12928000,130715625
2025-12-29 10:57:57,26006.6,26000,2025-12-30,PE,42.25,8.47,-0.4468,0.003100,-20.9087,5.8711,-0.4148,26057400,11101975,231949650
2025-12-29 10:58:02,26006.5,26000,2025-12-30,CE,60.05,8.64,0.5534,0.003100,-21.3222,5.8706,0.4807,24102300,12928000,130764675
2025-12-29 10:58:02,26006.5,26000,2025-12-30,PE,42.15,8.48,-0.4457,0.003100,-20.9388,5.8687,-0.4151,26057400,11101975,232013775
2025-12-29 10:58:08,26006.3,26000,2025-12-30,CE,59.7,8.64,0.5534,0.003100,-21.3227,5.8704,0.4802,24102300,12928000,130822650
2025-12-29 10:58:08,26006.3,26000,2025-12-30,PE,42.6,8.47,-0.4456,0.003100,-20.9010,5.8684,-0.4156,26057400,11101975,232114575
2025-12-29 10:58:13,26005.25,26000,2025-12-30,CE,59.7,8.51,0.5560,0.003100,-21.0032,5.8651,0.4778,24102300,12928000,130876425
2025-12-29 10:58:13,26005.25,26000,2025-12-30,PE,42.6,8.59,-0.4445,0.003100,-21.1950,5.8661,-0.4189,26057400,11101975,232199175
2025-12-29 10:58:18,26006.7,26000,2025-12-30,CE,59.5,8.58,0.5541,0.003100,-21.1682,5.8688,0.4814,24102300,12928000,130952625
2025-12-29 10:58:18,26006.7,26000,2025-12-30,PE,42.75,8.54,-0.4457,0.003100,-21.0915,5.8684,-0.4148,26057400,11101975,232298175
2025-12-29 10:58:24,26006.65,26000,2025-12-30,CE,59.8,8.64,0.5506,0.003100,-21.3431,5.8752,0.4810,24102300,12928000,131009550
2025-12-29 10:58:24,26006.65,26000,2025-12-30,PE,42.45,8.50,-0.4486,0.003100,-20.9983,5.8737,-0.4147,26057400,11101975,232393650
2025-12-29 10:58:29,26007.05,26000,2025-12-30,CE,59.85,8.65,0.5524,0.003100,-21.3695,5.8718,0.4821,24102300,12928000,131031675
2025-12-29 10:58:29,26007.05,26000,2025-12-30,PE,42.5,8.48,-0.4466,0.003100,-20.9479,5.8698,-0.4135,26057400,11101975,232464825
2025-12-29 10:58:35,26006.35,26000,2025-12-30,CE,60.2,8.58,0.5544,0.003100,-21.1676,5.8678,0.4804,24102300,12928000,131090775
2025-12-29 10:58:35,26006.35,26000,2025-12-30,PE,42.2,8.58,-0.4456,0.003100,-21.1675,5.8678,-0.4158,26057400,11101975,232554450
2025-12-29 10:58:40,26005.95,26000,2025-12-30,CE,59.85,8.35,0.5651,0.003200,-20.5219,5.8445,0.4802,24102300,12928000,131124075
2025-12-29 10:58:40,26005.95,26000,2025-12-30,PE,42.55,8.70,-0.4375,0.003100,-21.4068,5.8505,-0.4174,26057400,11101975,232615125
2025-12-29 10:58:46,26006.3,26000,2025-12-30,CE,59.55,8.42,0.5607,0.003200,-20.7457,5.8542,0.4809,24146550,12972250,131203200
2025-12-29 10:58:46,26006.3,26000,2025-12-30,PE,42.95,8.71,-0.4412,0.003100,-21.4756,5.8585,-0.4164,25806075,10850650,232805250
2025-12-29 10:58:51,26005.8,26000,2025-12-30,CE,59.45,8.61,0.5511,0.003100,-21.2675,5.8734,0.4787,24146550,12972250,131259825
2025-12-29 10:58:51,26005.8,26000,2025-12-30,PE,43.0,8.54,-0.4485,0.003100,-21.1142,5.8728,-0.4171,25806075,10850650,232990800
2025-12-29 10:58:57,26005.6,26000,2025-12-30,CE,59.3,8.62,0.5510,0.003100,-21.3063,5.8734,0.4781,24146550,12972250,131283075
2025-12-29 10:58:57,26005.6,26000,2025-12-30,PE,43.05,8.54,-0.4485,0.003100,-21.1147,5.8726,-0.4176,25806075,10850650,233055600
2025-12-29 10:59:02,26005.3,26000,2025-12-30,CE,59.5,8.45,0.5567,0.003100,-20.8524,5.8622,0.4779,24146550,12972250,131327550
2025-12-29 10:59:02,26005.3,26000,2025-12-30,PE,42.85,8.67,-0.4446,0.003100,-21.3896,5.8650,-0.4189,25806075,10850650,233172075
2025-12-29 10:59:08,26005.5,26000,2025-12-30,CE,59.6,8.50,0.5568,0.003100,-20.9658,5.8620,0.4783,24146550,12972250,131353350
2025-12-29 10:59:08,26005.5,26000,2025-12-30,PE,43.0,8.64,-0.4441,0.003100,-21.3111,5.8639,-0.4182,25806075,10850650,233240700
2025-12-29 10:59:13,26006.15,26000,2025-12-30,CE,59.6,8.39,0.5597,0.003200,-20.6810,5.8557,0.4805,24146550,12972250,131382750
2025-12-29 10:59:13,26006.15,26000,2025-12-30,PE,42.9,8.74,-0.4426,0.003000,-21.5643,5.8607,-0.4168,25806075,10850650,233321325
2025-12-29 10:59:18,26005.45,26000,2025-12-30,CE,59.8,8.27,0.5657,0.003200,-20.3332,5.8419,0.4790,24146550,12972250,131457975
2025-12-29 10:59:18,26005.45,26000,2025-12-30,PE,42.75,8.82,-0.4383,0.003000,-21.7185,5.8513,-0.4190,25806075,10850650,233442000
2025-12-29 10:59:24,26006.3,26000,2025-12-30,CE,59.85,8.61,0.5536,0.003100,-21.2536,5.8679,0.4799,24146550,12972250,131491800
2025-12-29 10:59:24,26006.3,26000,2025-12-30,PE,42.85,8.58,-0.4462,0.003100,-21.1769,5.8675,-0.4158,25806075,10850650,233521950
2025-12-29 10:59:29,26005.9,26000,2025-12-30,CE,59.65,8.58,0.5547,0.003100,-21.1709,5.8656,0.4790,24146550,12972250,131518575
2025-12-29 10:59:29,26005.9,26000,2025-12-30,PE,43.1,8.64,-0.4456,0.003100,-21.3243,5.8663,-0.4171,25806075,10850650,233608425
2025-12-29 10:59:35,26005.45,26000,2025-12-30,CE,59.35,8.26,0.5658,0.003200,-20.2961,5.8412,0.4789,24146550,12972250,131549625
2025-12-29 10:59:35,26005.45,26000,2025-12-30,PE,43.45,8.87,-0.4386,0.003000,-21.8354,5.8516,-0.4191,25806075,10850650,233731950
2025-12-29 10:59:40,26006.9,26000,2025-12-30,CE,59.3,8.24,0.5659,0.003200,-20.2581,5.8408,0.4831,24146550,12972250,131634225
2025-12-29 10:59:40,26006.9,26000,2025-12-30,PE,43.45,8.91,-0.4389,0.003000,-21.9512,5.8521,-0.4154,25806075,10850650,233921475
2025-12-29 10:59:45,26006.1,26000,2025-12-30,CE,59.5,8.41,0.5583,0.003200,-20.7319,5.8578,0.4801,24146550,12972250,131670525
2025-12-29 10:59:45,26006.1,26000,2025-12-30,PE,43.15,8.77,-0.4440,0.003000,-21.6533,5.8628,-0.4170,25806075,10850650,234018750
2025-12-29 10:59:51,26003.4,26000,2025-12-30,CE,59.35,8.70,0.5503,0.003100,-21.5055,5.8732,0.4717,24146550,12972250,131722050
2025-12-29 10:59:51,26003.4,26000,2025-12-30,PE,43.45,8.53,-0.4487,0.003100,-21.0840,5.8714,-0.4234,25806075,10850650,234170025
2025-12-29 10:59:56,26006.3,26000,2025-12-30,CE,59.6,8.64,0.5507,0.003100,-21.3527,5.8724,0.4797,24146550,12972250,131756625
2025-12-29 10:59:56,26006.3,26000,2025-12-30,PE,43.0,8.58,-0.4490,0.003100,-21.1994,5.8718,-0.4157,25806075,10850650,234230250
2025-12-29 11:00:02,26003.65,26000,2025-12-30,CE,58.75,8.45,0.5593,0.003100,-20.8396,5.8552,0.4731,24146550,12972250,131985375
2025-12-29 11:00:02,26003.65,26000,2025-12-30,PE,43.65,8.71,-0.4424,0.003100,-21.4926,5.8589,-0.4232,25806075,10850650,234431325
2025-12-29 11:00:07,26003.05,26000,2025-12-30,CE,59.0,8.39,0.5568,0.003200,-20.7076,5.8601,0.4716,24146550,12972250,132090975
2025-12-29 11:00:07,26003.05,26000,2025-12-30,PE,43.65,8.79,-0.4456,0.003000,-21.7053,5.8652,-0.4251,25806075,10850650,234590025
2025-12-29 11:00:13,26004.2,26000,2025-12-30,CE,59.2,8.29,0.5601,0.003200,-20.4202,5.8530,0.4751,24146550,12972250,132193500
2025-12-29 11:00:13,26004.2,26000,2025-12-30,PE,43.2,8.85,-0.4436,0.003000,-21.8415,5.8610,-0.4222,25806075,10850650,234810975
2025-12-29 11:00:19,26003.15,26000,2025-12-30,CE,59.05,8.51,0.5557,0.003100,-21.0179,5.8621,0.4715,24146550,12972250,132226950
2025-12-29 11:00:19,26003.15,26000,2025-12-30,PE,43.55,8.65,-0.4451,0.003100,-21.3633,5.8639,-0.4243,25806075,10850650,234916725
2025-12-29 11:00:24,26002.3,26000,2025-12-30,CE,59.4,8.32,0.5605,0.003200,-20.4932,5.8518,0.4696,24146550,12972250,132320025
2025-12-29 11:00:24,26002.3,26000,2025-12-30,PE,43.35,8.82,-0.4428,0.003000,-21.7612,5.8591,-0.4271,25806075,10850650,235043700
2025-12-29 11:00:29,26002.5,26000,2025-12-30,CE,58.95,8.64,0.5479,0.003100,-21.3736,5.8765,0.4693,24146550,12972250,132378450
2025-12-29 11:00:29,26002.5,26000,2025-12-30,PE,43.5,8.58,-0.4518,0.003100,-21.2204,5.8759,-0.4259,25806075,10850650,235151850
2025-12-29 11:00:35,26002.85,26000,2025-12-30,CE,59.1,8.51,0.5517,0.003100,-21.0476,5.8695,0.4706,24146550,12972250,132429525
2025-12-29 11:00:35,26002.85,26000,2025-12-30,PE,43.45,8.68,-0.4493,0.003100,-21.4692,5.8714,-0.4252,25806075,10850650,235246575
2025-12-29 11:00:40,26002.6,26000,2025-12-30,CE,59.0,8.58,0.5520,0.003100,-21.1973,5.8689,0.4697,24146550,12972250,132472650
2025-12-29 11:00:40,26002.6,26000,2025-12-30,PE,43.6,8.64,-0.4484,0.003100,-21.3506,5.8696,-0.4257,25806075,10850650,235319400
2025-12-29 11:00:46,26002.3,26000,2025-12-30,CE,58.95,8.51,0.5526,0.003100,-21.0423,5.8675,0.4690,24146550,12972250,132509250
2025-12-29 11:00:46,26002.3,26000,2025-12-30,PE,43.75,8.68,-0.4484,0.003100,-21.4640,5.8694,-0.4266,25806075,10850650,235401075
